"game_date","headshot","name","total","roll"
2022-12-13,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",11,36
2022-12-13,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",9,34
2022-12-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",16,54
2022-12-10,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",16,49
2022-12-10,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",8,29
2022-12-06,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",12,22
2022-12-04,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",21,45
2022-12-03,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",2,23
2022-12-03,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",22,39
2022-11-29,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",9,12
2022-11-27,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",8,45
2022-11-27,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",1,32
2022-11-26,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",1,20
2022-11-25,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",9,20
2022-11-24,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",10,27
2022-11-23,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",16,43
2022-11-20,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",10,30
2022-11-20,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",19,51
2022-11-18,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",8,26
2022-11-18,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",16,41
2022-11-16,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",19,31
2022-11-15,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",8,18
2022-11-14,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",2,44
2022-11-14,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",6,37
2022-11-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",2,19
2022-11-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",15,44
2022-11-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",23,33
2022-11-07,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",9,NA
2022-11-07,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",8,NA
2022-11-07,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",23,NA
